bar_type,trade_date,day_bar,start_time,end_time,open,high,low,close,volume,turnover,minutes,partial
turnover,2024-01-03,36,2024-01-03 14:35:00,2024-01-03 14:42:00,3378.61,3378.61,3377.02,3378.47,265430100.0,4190291500.0,8,False
turnover,2024-01-03,37,2024-01-03 14:43:00,2024-01-03 14:49:00,3378.6,3379.16,3377.79,3379.16,278828000.0,4176308900.0,7,False
turnover,2024-01-03,38,2024-01-03 14:50:00,2024-01-03 14:55:00,3378.59,3379.03,3377.91,3377.91,309563600.0,4565069700.0,6,False
turnover,2024-01-03,39,2024-01-03 14:56:00,2024-01-03 15:00:00,3378.57,3378.64,3378.3,3378.3,180050100.0,2712431700.0,5,True
turnover,2024-01-04,0,2024-01-04 09:30:00,2024-01-04 09:30:00,3369.99,3369.99,3369.99,3369.99,280144400.0,3989599500.0,1,False
turnover,2024-01-04,1,2024-01-04 09:31:00,2024-01-04 09:33:00,3372.29,3372.53,3370.43,3372.53,400744000.0,5520026900.0,3,False
turnover,2024-01-04,2,2024-01-04 09:34:00,2024-01-04 09:36:00,3370.09,3370.09,3365.76,3366.58,302135200.0,4923003100.0,3,False
turnover,2024-01-04,3,2024-01-04 09:37:00,2024-01-04 09:39:00,3362.95,3362.95,3360.68,3360.68,267025300.0,4631651900.0,3,False
turnover,2024-01-04,4,2024-01-04 09:40:00,2024-01-04 09:42:00,3361.13,3361.13,3358.87,3358.87,232960900.0,3986532900.0,3,False
turnover,2024-01-04,5,2024-01-04 09:43:00,2024-01-04 09:46:00,3358.91,3361.48,3357.89,3358.41,274606200.0,4590189700.0,4,False
turnover,2024-01-04,6,2024-01-04 09:47:00,2024-01-04 09:50:00,3355.49,3356.6,3353.46,3353.46,332959100.0,4552002900.0,4,False
turnover,2024-01-04,7,2024-01-04 09:51:00,2024-01-04 09:55:00,3351.9,3356.37,3351.9,3356.37,282221500.0,4636192600.0,5,False
turnover,2024-01-04,8,2024-01-04 09:56:00,2024-01-04 10:00:00,3353.91,3354.92,3349.56,3349.56,297842300.0,4966843000.0,5,False
turnover,2024-01-04,9,2024-01-04 10:01:00,2024-01-04 10:04:00,3349.84,3349.84,3346.6,3347.04,252053100.0,3911918600.0,4,False
turnover,2024-01-04,10,2024-01-04 10:05:00,2024-01-04 10:09:00,3346.34,3347.44,3346.34,3347.44,211321900.0,3853983700.0,5,False
turnover,2024-01-04,11,2024-01-04 10:10:00,2024-01-04 10:14:00,3346.35,3346.35,3343.31,3344.05,287529300.0,4504050600.0,5,False
turnover,2024-01-04,12,2024-01-04 10:15:00,2024-01-04 10:20:00,3343.49,3345.38,3342.93,3343.66,239556500.0,4132393300.0,6,False
turnover,2024-01-04,13,2024-01-04 10:21:00,2024-01-04 10:27:00,3344.66,3345.95,3344.51,3345.44,237540700.0,3866861900.0,7,False
turnover,2024-01-04,14,2024-01-04 10:28:00,2024-01-04 10:34:00,3346.45,3346.45,3342.45,3342.45,241579100.0,3853718200.0,7,False
turnover,2024-01-04,15,2024-01-04 10:35:00,2024-01-04 10:40:00,3340.75,3340.75,3338.34,3338.34,243651500.0,3966992200.0,6,False
turnover,2024-01-04,16,2024-01-04 10:41:00,2024-01-04 10:45:00,3337.73,3337.73,3334.39,3334.39,245316200.0,3814472100.0,5,False
turnover,2024-01-04,17,2024-01-04 10:46:00,2024-01-04 10:53:00,3336.05,3337.55,3335.75,3336.86,252484800.0,4111326700.0,8,False
turnover,2024-01-04,18,2024-01-04 10:54:00,2024-01-04 11:00:00,3337.06,3337.06,3329.66,3330.64,299344000.0,4491341900.0,7,False
turnover,2024-01-04,19,2024-01-04 11:01:00,2024-01-04 11:09:00,3331.38,3333.87,3330.62,3330.62,251081000.0,4135307000.0,9,False
turnover,2024-01-04,20,2024-01-04 11:10:00,2024-01-04 11:17:00,3332.63,3334.36,3330.64,3334.36,238942000.0,3993741200.0,8,False
turnover,2024-01-04,21,2024-01-04 11:18:00,2024-01-04 11:25:00,3331.83,3333.49,3325.35,3325.35,308462200.0,4554642300.0,8,False
turnover,2024-01-04,22,2024-01-04 11:26:00,2024-01-04 13:02:00,3325.57,3330.92,3325.57,3330.38,276869600.0,4202742900.0,8,False
turnover,2024-01-04,23,2024-01-04 13:03:00,2024-01-04 13:11:00,3330.75,3333.69,3329.7,3331.25,277774500.0,3988782600.0,9,False
turnover,2024-01-04,24,2024-01-04 13:12:00,2024-01-04 13:20:00,3331.21,3335.22,3330.71,3335.22,250110500.0,3853661800.0,9,False
turnover,2024-01-04,25,2024-01-04 13:21:00,2024-01-04 13:28:00,3334.48,3334.57,3332.21,3333.18,255957400.0,3885230300.0,8,False
turnover,2024-01-04,26,2024-01-04 13:29:00,2024-01-04 13:37:00,3331.69,3332.74,3330.82,3331.34,251030400.0,4173198900.0,9,False
turnover,2024-01-04,27,2024-01-04 13:38:00,2024-01-04 13:46:00,3330.78,3333.12,3330.59,3330.59,251175800.0,4116372700.0,9,False
turnover,2024-01-04,28,2024-01-04 13:47:00,2024-01-04 13:54:00,3330.51,3330.58,3328.08,3330.02,276041800.0,4063583700.0,8,False
turnover,2024-01-04,29,2024-01-04 13:55:00,2024-01-04 14:02:00,3331.06,3331.06,3328.78,3328.78,252705600.0,3850106500.0,8,False
turnover,2024-01-04,30,2024-01-04 14:03:00,2024-01-04 14:09:00,3329.26,3341.26,3329.26,3341.26,304627500.0,4380968700.0,7,False
